"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Possui Apoiador/Solicitante?";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2026";"Emenda Individual - Transferências com Finalidade Definida";"4451 - PROFESSORA LUCIENE CAVALCANTE";"0009";"Não se aplica";"SÃO PAULO (UF)";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA - DESPESAS DIVERSAS";"202644510009";"- 132.195,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2026";"Emenda Individual - Transferências com Finalidade Definida";"4366 - DUDA SALABERT";"0017";"Não se aplica";"Nacional";"Defesa nacional";"Desenvolvimento científico";"6113 - OCEANO, ZONA COSTEIRA E ANTARTICA";"2345 - APOIO LOGISTICO A PESQUISA CIENTIFICA NA ANTARTICA";"APOIO LOGISTICO A PESQUISA CIENTIFICA NA ANTARTICA";"202643660017";"108,85";"108,85";"108,85";"0,00";"0,00";"0,00";
"2026";"Emenda Individual - Transferências com Finalidade Definida";"2764 - PADRE JOAO";"0006";"Não se aplica";"MINAS GERAIS (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202627640006";"142,64";"0,00";"0,00";"0,00";"0,00";"0,00";
"2026";"Emenda Individual - Transferências com Finalidade Definida";"4064 - ROGERIO CORREIA";"0002";"Não se aplica";"BELO HORIZONTE - MG";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202640640002";"142,64";"0,00";"0,00";"0,00";"0,00";"0,00";
"2026";"Emenda Individual - Transferências com Finalidade Definida";"4553 - LENIR DE ASSIS";"0021";"Não se aplica";"Nacional";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202645530021";"272,40";"0,00";"0,00";"0,00";"0,00";"0,00";
"2026";"Emenda Individual - Transferências com Finalidade Definida";"3043 - ALUISIO MENDES";"0001";"Não se aplica";"MARANHÃO (UF)";"Urbanismo";"Assistência comunitária";"2317 - DESENVOLVIMENTO REGIONAL E ORDENAMENTO TERRITORIAL";"00SX - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"202630430001";"500,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2026";"Emenda Individual - Transferências com Finalidade Definida";"4269 - DR. HIRAN";"0002";"Não se aplica";"RORAIMA (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";"202642690002";"578,00";"578,00";"578,00";"0,00";"0,00";"0,00";
"2026";"Emenda Individual - Transferências com Finalidade Definida";"4337 - DANIEL BARBOSA";"0006";"Não se aplica";"ALAGOAS (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";"202643370006";"888,00";"888,00";"888,00";"0,00";"0,00";"0,00";
"2026";"Emenda Individual - Transferências com Finalidade Definida";"4155 - KIM KATAGUIRI";"0010";"Não se aplica";"SÃO PAULO (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";"202641550010";"1.012,15";"1.012,15";"1.012,15";"0,00";"0,00";"0,00";
"2026";"Emenda Individual - Transferências com Finalidade Definida";"4271 - HAMILTON MOURAO";"0007";"Não se aplica";"RIO GRANDE DO SUL (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";"202642710007";"1.596,00";"1.596,00";"0,00";"0,00";"0,00";"0,00";
